timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1757976306725,102,HTTP Request,200,OK,Saucedemo_QA 1-20,text,true,,3979,234,50,50,https://www.saucedemo.com/,54,0,0
1757976306725,54,HTTP Request-0,301,Moved Permanently,Saucedemo_QA 1-20,text,true,,658,115,50,50,http://saucedemo.com/,54,0,0
1757976306779,48,HTTP Request-1,200,OK,Saucedemo_QA 1-20,text,true,,3321,119,50,50,https://www.saucedemo.com/,47,0,0
1757976306724,105,HTTP Request,200,OK,Saucedemo_QA 1-8,text,true,,3979,234,50,50,https://www.saucedemo.com/,58,0,0
1757976306724,58,HTTP Request-0,301,Moved Permanently,Saucedemo_QA 1-8,text,true,,658,115,50,50,http://saucedemo.com/,58,0,0
1757976306782,47,HTTP Request-1,200,OK,Saucedemo_QA 1-8,text,true,,3321,119,50,50,https://www.saucedemo.com/,47,0,0
1757976306725,106,HTTP Request,200,OK,Saucedemo_QA 1-19,text,true,,3980,234,50,50,https://www.saucedemo.com/,58,0,0
1757976306725,58,HTTP Request-0,301,Moved Permanently,Saucedemo_QA 1-19,text,true,,658,115,50,50,http://saucedemo.com/,58,0,0
1757976306784,47,HTTP Request-1,200,OK,Saucedemo_QA 1-19,text,true,,3322,119,50,50,https://www.saucedemo.com/,47,0,0
1757976305966,902,HTTP Request,200,OK,Saucedemo_QA 1-33,text,true,,3979,234,50,50,https://www.saucedemo.com/,169,0,56
1757976305966,169,HTTP Request-0,301,Moved Permanently,Saucedemo_QA 1-33,text,true,,658,115,50,50,http://saucedemo.com/,169,0,56
1757976306138,730,HTTP Request-1,200,OK,Saucedemo_QA 1-33,text,true,,3321,119,50,50,https://www.saucedemo.com/,682,0,169
1757976306778,94,HTTP Request,200,OK,Saucedemo_QA 1-21,text,true,,3980,234,50,50,https://www.saucedemo.com/,47,0,0
1757976306778,47,HTTP Request-0,301,Moved Permanently,Saucedemo_QA 1-21,text,true,,659,115,50,50,http://saucedemo.com/,47,0,0
1757976306825,47,HTTP Request-1,200,OK,Saucedemo_QA 1-21,text,true,,3321,119,50,50,https://www.saucedemo.com/,47,0,0
1757976306777,95,HTTP Request,200,OK,Saucedemo_QA 1-11,text,true,,3979,234,50,50,https://www.saucedemo.com/,47,0,0
1757976306777,47,HTTP Request-0,301,Moved Permanently,Saucedemo_QA 1-11,text,true,,658,115,50,50,http://saucedemo.com/,47,0,0
1757976306824,48,HTTP Request-1,200,OK,Saucedemo_QA 1-11,text,true,,3321,119,50,50,https://www.saucedemo.com/,48,0,0
1757976306777,96,HTTP Request,200,OK,Saucedemo_QA 1-12,text,true,,3979,234,50,50,https://www.saucedemo.com/,47,0,0
1757976306777,47,HTTP Request-0,301,Moved Permanently,Saucedemo_QA 1-12,text,true,,658,115,50,50,http://saucedemo.com/,47,0,0
1757976306824,49,HTTP Request-1,200,OK,Saucedemo_QA 1-12,text,true,,3321,119,50,50,https://www.saucedemo.com/,48,0,0
1757976306777,96,HTTP Request,200,OK,Saucedemo_QA 1-29,text,true,,3979,234,50,50,https://www.saucedemo.com/,47,0,0
1757976306776,97,HTTP Request,200,OK,Saucedemo_QA 1-16,text,true,,3981,234,50,50,https://www.saucedemo.com/,48,0,0
1757976306777,47,HTTP Request-0,301,Moved Permanently,Saucedemo_QA 1-29,text,true,,658,115,50,50,http://saucedemo.com/,47,0,0
1757976306776,48,HTTP Request-0,301,Moved Permanently,Saucedemo_QA 1-16,text,true,,659,115,50,50,http://saucedemo.com/,48,0,0
1757976306824,49,HTTP Request-1,200,OK,Saucedemo_QA 1-29,text,true,,3321,119,50,50,https://www.saucedemo.com/,49,0,0
1757976306825,48,HTTP Request-1,200,OK,Saucedemo_QA 1-16,text,true,,3322,119,50,50,https://www.saucedemo.com/,48,0,0
1757976306775,99,HTTP Request,200,OK,Saucedemo_QA 1-28,text,true,,3979,234,50,50,https://www.saucedemo.com/,49,0,0
1757976306775,49,HTTP Request-0,301,Moved Permanently,Saucedemo_QA 1-28,text,true,,658,115,50,50,http://saucedemo.com/,49,0,0
1757976306824,50,HTTP Request-1,200,OK,Saucedemo_QA 1-28,text,true,,3321,119,50,50,https://www.saucedemo.com/,48,0,0
1757976306777,97,HTTP Request,200,OK,Saucedemo_QA 1-4,text,true,,3979,234,50,50,https://www.saucedemo.com/,47,0,0
1757976306777,47,HTTP Request-0,301,Moved Permanently,Saucedemo_QA 1-4,text,true,,658,115,50,50,http://saucedemo.com/,47,0,0
1757976306824,50,HTTP Request-1,200,OK,Saucedemo_QA 1-4,text,true,,3321,119,50,50,https://www.saucedemo.com/,47,0,0
1757976306774,100,HTTP Request,200,OK,Saucedemo_QA 1-23,text,true,,3979,234,50,50,https://www.saucedemo.com/,52,0,0
1757976306774,52,HTTP Request-0,301,Moved Permanently,Saucedemo_QA 1-23,text,true,,658,115,50,50,http://saucedemo.com/,52,0,0
1757976306827,47,HTTP Request-1,200,OK,Saucedemo_QA 1-23,text,true,,3321,119,50,50,https://www.saucedemo.com/,47,0,0
1757976306777,101,HTTP Request,200,OK,Saucedemo_QA 1-18,text,true,,3981,234,50,50,https://www.saucedemo.com/,53,0,0
1757976306777,53,HTTP Request-0,301,Moved Permanently,Saucedemo_QA 1-18,text,true,,659,115,50,50,http://saucedemo.com/,53,0,0
1757976306830,48,HTTP Request-1,200,OK,Saucedemo_QA 1-18,text,true,,3322,119,50,50,https://www.saucedemo.com/,48,0,0
1757976306776,102,HTTP Request,200,OK,Saucedemo_QA 1-5,text,true,,3979,234,50,50,https://www.saucedemo.com/,53,0,0
1757976306776,53,HTTP Request-0,301,Moved Permanently,Saucedemo_QA 1-5,text,true,,658,115,50,50,http://saucedemo.com/,53,0,0
1757976306829,49,HTTP Request-1,200,OK,Saucedemo_QA 1-5,text,true,,3321,119,50,50,https://www.saucedemo.com/,49,0,0
